Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;
ПОНЕДІЛОК    12.09;1;Е к о н о м і ч н а  т е о р і я  (+ФУФСН) доц. Криворак А.Д.;Е к о н о м і ч н а  т е о р і я  (+ФУФСН) доц. Криворак А.Д.;Е к о н о м і ч н а  т е о р і я  (+ФУФСН) доц. Криворак А.Д.;Е к о н о м і ч н а  т е о р і я  (+ФУФСН) доц. Криворак А.Д.;Економіко-мат.методи та моделі доц.Сорока Л.М.;Організація туризму викл.Міщук Ж.В.;;;;;;;
ПОНЕДІЛОК    12.09;2;Технічна творчість та естетика                                           доц. Букатова О.М.;Технічна творчість та естетика                                           доц. Букатова О.М.;Прак. курс АМ     доц. Шиляєва Т.В.;Комп.технології в тестування викл.Коваленко О.В.;Економ. підпр. ІІ               викл.Гилка У.Л.;Організація готельного господарства викл.Міщук Ж.В.;;;;;;;
ПОНЕДІЛОК    12.09;3;Фізична культура та основи здоров`я людини                              викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини                              викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини                              викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини                              викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини                              викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини                              викл.Бочарова Т.В., викл.Долженко І.В.;;;;;;;
ПОНЕДІЛОК    12.09;4;Технічна творчість та естетика                                           доц. Букатова О.М.;Технічна творчість та естетика                                           доц. Букатова О.М.;;;;Болг.мова                     доц.Гончар Н.М.;;;;;;;
ПОНЕДІЛОК    12.09;5;Спеціальна медична група доц.Смакула О.І.;Спеціальна медична група доц.Смакула О.І.;Спеціальна медична група доц.Смакула О.І.;Спеціальна медична група доц.Смакула О.І.;Спеціальна медична група доц.Смакула О.І.;Спеціальна медична група доц.Смакула О.І.;;;;;;;
ВІВТОРОК   13.09;1;Технологічний практикум                                доц. Букатова О.М.;Технологічний практикум                                доц. Букатова О.М.;;;Фінанси                  викл.Гилка У.Л.;;;;;;;;
ВІВТОРОК   13.09;2;Технологічний практикум                                доц. Букатова О.М.;Технологічний практикум                                доц. Букатова О.М.;Програмування викл.Коваленко О.В.;Програмування викл.Коваленко О.В.;Англ.мова викл.Шикиринська О.Б.;Англ. мова доц.Чуфарлічева А.Ю.;;;;;;;
ВІВТОРОК   13.09;3;Технологія виробництва та обробка конструкційних матеріалів                                        доц. Федорова О.В.;Технологія виробництва та обробка конструкційних матеріалів                                        доц. Федорова О.В.;Теорія ймовірності та мат.статистика (+4к)           доц. Івлієва О.М.;Теорія ймовірності та мат.статистика (+4к)           доц. Івлієва О.М.;Економіко-мат.методи та моделі доц.Сорока Л.М.;Болг.мова                     доц.Гончар Н.М.;;;;;;;
ВІВТОРОК   13.09;4;;;;;;;;;;;;;
ВІВТОРОК   13.09;5;;;;;;;;;;;;;
